,Category,Question,Answer
,General,What is Minds?,Minds is the world's leading free and open source social network where you are rewarded for your contributions to the network with crypto tokens. 
,General,What is the goal of Minds?,The goal of Minds is to create a free and open Internet and ensure that people are fairly compensated for their efforts online with viral reach and revenue opportunity.
,General,Who founded Minds?,"Bill Ottman founded Minds in 2011, and he is the current CEO."
,General,How do I contact Minds?,You can contact Minds by emailing info@minds.com.
,General,Can I invest in Minds?,"Minds is currently a privately held company, though it took a major step in becoming community owned when it raised over $1 million from over 1,500 investors worldwide in a SEC Regulation CF equity-crowdfunding campaign. Minds will make all users aware of future investment opportunities when they are available."
,General,Can I use Minds official logo?,"Yes, as long as it is not in an attempt to impersonate or suggest any direct affiliation to Minds."
,General,What is the Minds privacy policy?,You can read the full Minds privacy policy here - https://www.minds.com/p/privacy
,General,Where can I download the mobile app?,You can download the app from the Google Play store or the iOS App Store.
,General,How is my content licensed on Minds?,"There are multiple content licenses to choose from, including GPL, Creative Commons, Public Domain, and All Rights Reserved. While uploading content through Minds.com, you will be prompted to choose a license; make sure to select the appropriate one! All license edits must be made from the Minds web app."
,General,What are the Minds Terms of Service?,"All content legal under US law is permitted on the site. Certain malicious behavior on the site may result in a channel ban such as harassment, bullying, spam, threatening violence, and copyright infringement. Minds full Terms of Service can be found here - https://www.minds.com/p/terms"
,General,Is there a way to filter the content I see?,"You will see 100% of the content that you subscribe to. For any unsubscribed content (Boost or Discovery feeds), you can choose to use either our default feed, Open Feed or explicit feed. Our default feed only contains content that is acceptable under the Apple and Google developer terms of service. This is essential to ensure that our platform remains available on mobile devices. If you wish to view content that is more controversial, you can turn on ""Open"" by clicking on the gear icon in the top right of you feeds. To view explicit content, you can opt-in to explicit mode in your settings. "
,,,
,Security,How do I block a user?,"You may block a user by going to their channel settings and selecting ‘Block’. You may also block a user by clicking the settings on their post (small down carrot icon), and selecting ‘Block User’."
,Security,What does blocking a user do?,"Blocking a user makes it so that user is no longer able to engage with your channel or any of the content or groups you own. You also will no longer see this user’s posts or Boosts, unless you specifically go to their channel."
,Security,How do I report content?,"If you come across content that you believe violates the Minds Terms of Service, you can click on the post options (small down carrot icon) and select ‘Report’. You then will be able to choose the reason for reporting the content. The content is then sent to the Minds admins for review."
,Security,How do I submit an appeal?,"If you wish to appeal a decision by the Minds admins regarding your content, you can do so in the 'Reported Content' section in your settings. "
,Security,How do I enable two factor authentication?,"Click on your account settings. From here, select “Two factor authentication” and enter the phone number you want the security text delivered to. You will receive a code by text every time someone logs into your account."
,Security,Am I required to give any personal information?,"Minds users have the ability to remain anonymous, as you are not required to provide any personal information on signup. You are only required to provide personal information if you wish to participate in our rewards program. To participate in our rewards program, all you need to provide is your mobile device number. This number will be converted into a SHA256 unique hash ID that we will tie to your account to prove uniqueness. We will not store your number on our servers."
,,,
,Channels,How do I create an channel?,"To create a new channel, enter your desired username along with your email address and password at https://minds.com"
,Channels,How do I login?,"Enter your username and password. Please note that your username is your @ handle on Minds, not your email address."
,Channels,Can I change my username?,"You may not change your username after you create it. However, you can change your display name in your settings."
,Channels,How do I request a new password?,"Select the ""Forgot Password?"" link from the login page. At this point, we will send you an email with a link to verify it is you and reset your password."
,Channels,Can I use two factor authentication?,"Yes, you can enable two factor authentication in your settings. "
,Channels,Can I deactivate my account?,"In your account settings, choose “Deactivate channel” on the left-hand side of the screen. Your channel will be removed from Minds, but your content will remain. If you wish to delete your content, please do so before deactivating your account."
,Channels,Can I reactivate my account?,"Yes, all you need to do is login again to reactivate your account."
,Channels,What is a channel?,"A Minds channel is your profile and your home page on the site. Be anonymous if you want as Minds does not require any personally identifiable information to join. You will be asked for a valid email, but this too is optional. Beware, however, that if you do not enter a valid email your channel is not recoverable if you forget your password. From your Minds channel page, you can edit your avatar and banner, write a short bio, view your subscriptions and subscribers, enter status posts, and upload and manage your content. This is the page that other people will see when they visit you on Minds."
,Channels,How do I edit my channel?,"To edit the information and images on your channel, you must first select the ‘edit’ button (notated with a pencil icon). Clicking this button enables you to change your avatar, banner photo, personal bio, social link, and membership rewards."
,Channels,How do I pin a post to my channel?,"You may pin a maximum of three posts to the top of your channel feed. To do so, click on the bookmark icon located on the top of all of your posts. It will be filled in with gray when the post is pinned. Be sure to refresh your page once you have pinned a post to ensure it stays pinned."
,Channels,How do I view my images?,"To view your images, go to the image gallery on your channel page and click ""view all"". You may also click on ""Images"" in the main navigation and then select ""My Images""."
,Channels,How do I view my videos?,"To view your videos, go to the video gallery on your channel and click ""view all"". You can also click on ""Videos"" in the main navigation and then select ""My Videos""."
,Channels,How do I view my posts?,"To view all of your posts, use the main feed on your channel."
,Channels,How do I view my blogs?,"To view your blogs, go to the blog gallery on your channel and click ""view all"". You can also click on ""Blogs"" in the main navigation and then select ""My Blogs""."
,Channels,How do I view my subscribers and subscriptions?,"To view your subscribers and subscriptions, click on the word ""Subscribers"" under your channel photo. From here, you can view both your subscribers and subscriptions. You can also find these lists by clicking on the ""Channels"" icon on the top-bar navigation, and then toggling to the ""Subscribers"" or ""Subscriptions"" lists."
,Channels,How do I update my avatar and banner photo?,"To update your avatar and banner photo, click the pencil icon to edit your channel and then you can click on the avatar/banner areas to upload a new photo. Be sure to save your changes and refresh your browser after saving. Please note that it may take some time for your new avatar / banner to update throughout the entire site. If your avatar does not save properly, consider logging out of all devices and then log back in to synch on the last saved avatar."
,,,
,Posting,What can I upload or post to Minds?,"You can post video files, image files, status posts, hyperlinks, and blogs on Minds."
,Posting,How can I post a thumbnail image with a link?,Add a space after the URL and a image thumbnail will appear. You may then delete the URL and the thumbnail will persist.
,Posting,How do I upload or post to Minds?,"To post, simply type text or hyperlinks into the post entry field and click ‘Post’. To upload media, click on the paperclip icon in your status field. From here, you’ll be prompted to select the media file that you wish to upload. You will need to wait for the upload bar to complete before the ‘Post’ button will be highlighted and able to be clicked."
,Posting,What are the icons on a post for?,"Each post has icons along the bottom of the post for other users to upvote, downvote, Wire, comment, or Remind. You will also see an option to ‘Boost’ on your own post. On the top of your post, you will see icons for post settings, translations (globe), or pinned posts."
,Posting,What is a pinned post?,"You can pin up to 3 posts on your channel so they stay at the very top of your feed. These posts will remain at the top of your channel feed. To pin a post, click on the bookmark icon in the top right of your post."
,Posting,What is a Remind?,"A ‘Remind’ is a way for users to share other people’s content on their own channel. This is a similar feature to a ‘share’ or ‘retweet’. To Remind a post, click on the share icon on the post and submit."
,Posting,How do I delete a post?,"To delete a post, you can click on the post settings and then select ""Delete"". "
,Posting,How do I share a post?,"To share a post outside of Minds, you can click on the post settings and then select ""Share"". From here, you can choose to share the post to another social network or simply copy the link to your clipboard."
,,,
,Voting,How do I vote on something?,"To upvote a post or comment, click on the thumbs up icon. To downvote a post or comment, click on the thumbs down."
,Voting,What can I vote on?,"You can vote on any content on the site, including blogs, videos, status posts, and images. You can also vote on comments."
,Voting,Who does a vote do?,Voting determines which content is deemed the best (or worst) by the community. This enables the system to make this content more discoverable and reward the users for posting it.
,Voting,Is there a limit on how many times I can vote?,"No, there is no limit on how many times you can vote, but using any type of bot or software to manipulate the voting tools is a bannable offense."
,,,
,Commenting,How do I comment on something?,"To comment on a post, click on the speech bubble icon on the bottom of every post. From here, you can enter your comment."
,Commenting,What can I comment on?,"You can comment on any post, image, video or blog on Minds. You can also reply to other user's comments."
,Commenting,Is there a limit on how many times I can comment?,"No, there is no limit on how many times you can comment on something."
,Commenting,Can I upload media into my comments?,"You can currently upload an image file to a comment, or a thumbnail preview for a hyperlink."
,,,
,Images,How do I upload an image?,"To upload an image, click on the paperclip icon in the post entry field and select the image file you wish to upload. When the loading bar has completed, the ‘post’ button will illuminate and you can click it to submit.Make sure to wait for teh Post button to FULLY illuminate as athere can be a delay and clicking prematurely will cause the upload to fail."
,Images,What image file types are supported?,All major image file types are supported.
,Images,Where can I see all of my images?,"To view your images, go to the image gallery on your channel and click ""view all"". You can also click on ""Images"" in the main navigation and then select ""My Images""."
,Images,Are there any limitations to what I can upload?,You may upload any image that adheres to our Terms of Service.
,,,
,Videos,How do I upload a video?,"To upload a video, click on the paperclip icon in the post entry field and select the video file you wish to upload. When the loading bar has completed, the ‘post’ button will illuminate and you can click it to submit."
,Videos,What video file types are supported?,All major video file types are supported.
,Videos,Where can I see all of my videos?,"To view your videos, go to the video gallery on your channel and click ""view all"". You can also click on ""Videos"" in the main navigation and then select ""My Videos""."
,Videos,Are there any limitations to what I can upload?,"Currently, Minds only accepts videos under 30 minutes in length."
,,,
,Blogs,How do I write a blog?,"Click blogs from the navigation bar in the top center of the screen and select “WRITE A NEW BLOG.” A blog will open, and then just start writing."
,Blogs,Where can I view all of my blogs?,"To view your blogs, go to the blog gallery on your channel and click ""view all"". You can also click on ""Blogs"" in the main navigation and then select ""My Blogs""."
,Blogs,How do I save a draft?,"Click ""Save Draft"" at the bottom of the page and your blog will be saved without being published to your channel."
,Blogs,How do I publish a blog?,"To publish a blog, click on ""Publish"" when you are finished writing. This will post the blog to your channel feed and to all of your subscribers. If you need to make an edit after you publish your blog, then make the edit and Remind the blog from your gallery to republish the blog. "
,Blogs,How do I set a banner photo for my blog?,"To set a banner photo for your blog, simply click on the large gray area above the blog and select the photo you wish to set as the banner."
,Blogs,How do I upload media into my blog?,"To upload media into your blog, click on the + icon next to the text cursor. From there, you can choose to upload either an image or video. For images, you can copy an image address, or upload directly from your computer. For videos, you will need to use a link."
,Blogs,How do I format my blog?,"To access the formatting options, you must first highlight the text you wish to format. At this point, all formatting options will appear in the black bar."
